License,URL,Keyword,Publisher,Creator,Owner,Language,Level,Size,Name,PublicationTimestamp,Description,Version,Domain,FileFormat
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/bus_stop_results.csv-model.ttl,bustop R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,31 KB,bus_stop_results.csv-model.ttl,To be added,The bus_stop Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/city_areas.txt-model.ttl,city area R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,14 KB,city_areas.txt-model.ttl,To be added,The city_area Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/clean_services.csv-model.ttl,services R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,22 KB,clean_services.csv-model.ttl,To be added,The facilities Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/locations.csv-model.ttl,locations R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,11 KB,locations.csv-model.ttl,To be added,The locations Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/mock_delay.csv-model.ttl,delay mock R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,11 KB,mock_delay.csv-model.ttl,To be added,The mock delay Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/routes_results.csv-model.ttl,routes R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,11 KB,routes_results.csv-model.ttl,To be added,The bus_routes Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/schedules.csv-model.ttl,schedules R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,11 KB,schedules.csv-model.ttl,To be added,The schedules Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/trip_results.csv-model.ttl,trip R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,19 KB,trip_results.csv-model.ttl,To be added,The bus_trip Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%205%20-%20Data%20Definition/R2RML-karma/trip_with_mock_delay.csv-model.ttl,trip with mock R2RML-karma,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,25 KB,trip_with_mock_delay.csv-model.ttl,To be added,The bus_trip with delay mock Karma R2RML model,1,To be added,ttl
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/bus_stop_results.csv,bus_stop data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,9 KB,bus_stop_results.csv,To be added,"Bus stops of city of trento. Based on the KGE 2022 and data from city of Trento one main difference was the addition of the next bus stop on the same entity for the trip. For this reason, in particular, were created the datatypes schedule and location, location we used with facility as in the beginning both would be derived from a place entity, but facility was created to be more generic",1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/city_areas.tsv,city_area data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,436 KB,city_areas.tsv,To be added,"City of Trento Districts it contains the official subdivision of Trento with the id, name, boundaries and population density of each area",1,To be added,tsv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/clean_delay.csv,delay data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,1 KB,clean_delay.csv,To be added,"As the main concept of our project, we had to create definitions for both predicted delay and actual delay",1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/clean_points.csv,points data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,9 KB,clean_points.csv,To be added,Points of each city area,1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/clean_services.csv,facility data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,183 KB,clean_services.csv,To be added,"Facilities extracted from Esercizi Commerciali dataset, but only within city of trento boundaries",1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/locations.csv,locations data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,72 KB,locations.csv,To be added,Location in our case is just use as point in space to hold the latitude and longitude locations of places used in this project,1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/mock_delay.csv,mock delay data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,274 KB,mock_delay.csv,To be added,Delay dataset created as a mock for testing purposes,1,To be added,csv
To be added,https://github.com/R-R-Onzi/TTT_KGE/blob/main/Phase%202%20-%20Information%20Gathering/Code%20Libraries/Data/routes_results.csv,bus_routes data,To be added,"Eugenio Ferrari, Rubens Rissi Onzi",To be added,English,To be added,231 KB,routes_results.csv,To be added,Bus Route represent the path followed by the bus,1,To be added,csv
