name,density,points
BONDONE,24,"[(895, 3489), (909, 3495), (1674, 3718), (1517, 3837), (1498, 3843), (1682, 3727), (1464, 3171), (1312, 3251), (1287, 3394), (1294, 3395), (1198, 3405), (1193, 3407), (1393, 3127), (1324, 3245), (1239, 3181), (1270, 3204), (1489, 3661), (1484, 3653), (1275, 3497), (1278, 3503), (1324, 3103), (1650, 3788), (1666, 3783), (1625, 3763)]"
RAVINA-ROMAGNANO,29,"[(2919, 2335), (3175, 1924), (3182, 1932), (3137, 2153), (3167, 2161), (3222, 2095), (3223, 2116), (3003, 2108), (3040, 2118), (2944, 2235), (2953, 2218), (3142, 2284), (3190, 2226), (3111, 1509), (3112, 1507), (2981, 1344), (2966, 1320), (2908, 1326), (2937, 1428), (2926, 1268), (2906, 1238), (3022, 1397), (3019, 1385), (3136, 1809), (3141, 1820), (2884, 1310), (3115, 2217), (3198, 2371), (3207, 2373)]"
GARDOLO,103,"[(3115, 5400), (3055, 4200), (3017, 4358), (3082, 4826), (3033, 4813), (3064, 4604), (3063, 4602), (3137, 4450), (3136, 4452), (3139, 4509), (3133, 4513), (2846, 4291), (2964, 4236), (3344, 4359), (3232, 4453), (3232, 4455), (3336, 4366), (3002, 4678), (2998, 4680), (3046, 4436), (2946, 4878), (3006, 5104), (2997, 5108), (3072, 5216), (3363, 4305), (3420, 4133), (3400, 4194), (3386, 4228), (3424, 4131), (2788, 4267), (2936, 4918), (3135, 5397), (2388, 4960), (2598, 4855), (2611, 4855), (2477, 4862), (2481, 4853), (3181, 4185), (3182, 4371), (3158, 4449), (2866, 4471), (2775, 4476), (2749, 4475), (3089, 5283), (3030, 4510), (2949, 4771), (3143, 4190), (3099, 4315), (3134, 4239), (2822, 4142), (2913, 4036), (2909, 4036), (2991, 4416), (2986, 4412), (2929, 4444), (2752, 4402), (2734, 4851), (2754, 4845), (2870, 4843), (2860, 4838), (2532, 4829), (2539, 4829), (3037, 4518), (2992, 4646), (2795, 4258), (2752, 4407), (3099, 4341), (2918, 4875), (2847, 5010), (2727, 5064), (2643, 5029), (2797, 4737), (2923, 4568), (2920, 4496), (2957, 4955), (2726, 4228), (2809, 4144), (3182, 4264), (2427, 4919), (2429, 4921), (2563, 4962), (2562, 4960), (2676, 5093), (2667, 5103), (2610, 4903), (2602, 4909), (2468, 4805), (2471, 4804), (2618, 5145), (2415, 4608), (2412, 4606), (2552, 4288), (2544, 4303), (2466, 4440), (2464, 4433), (2441, 4509), (2444, 4512), (2643, 5026), (2736, 4345), (2391, 4676), (2394, 4678), (2733, 4790), (3367, 4304)]"
ARGENTARIO,69,"[(3573, 4309), (3568, 4302), (4595, 3507), (4614, 3508), (4762, 3562), (4765, 3562), (4181, 3424), (4364, 3407), (4354, 3408), (4107, 3388), (4151, 3398), (4186, 3397), (4086, 3389), (4264, 3399), (4267, 3403), (4513, 3465), (4528, 3478), (3886, 3856), (3887, 3850), (3797, 3842), (3974, 3656), (3978, 3656), (3832, 3890), (3828, 3892), (3811, 3860), (3672, 4145), (3666, 4146), (3780, 4039), (3757, 4050), (3551, 4378), (3547, 4375), (4218, 4506), (4129, 4545), (4127, 4548), (4036, 4442), (4039, 4442), (4072, 4579), (4071, 4583), (4088, 3184), (4067, 3259), (4068, 3278), (4107, 3235), (3960, 3345), (4645, 3593), (4647, 3596), (4748, 3607), (4765, 3612), (4733, 3576), (4683, 3589), (3839, 3445), (3680, 3622), (3667, 3602), (3750, 3760), (3763, 3786), (3867, 3965), (3864, 3969), (3702, 3663), (3697, 3662), (3714, 3431), (3712, 3418), (3680, 3495), (3998, 3157), (4000, 3179), (4836, 3753), (4921, 3689), (4929, 3699), (4068, 3553), (4081, 3547), (4181, 3421)]"
POVO,44,"[(5013, 3108), (4437, 2706), (4432, 2705), (4109, 3107), (4110, 3110), (4336, 3050), (4345, 3061), (4890, 3298), (4131, 3189), (4865, 3120), (4847, 3110), (4810, 3060), (4805, 3054), (4542, 3005), (4541, 2997), (4707, 3081), (4635, 3065), (4630, 3067), (4476, 2973), (4479, 2977), (4751, 3051), (4747, 3059), (4518, 2934), (4503, 2933), (4877, 3185), (4862, 3178), (4504, 3001), (5683, 3128), (5469, 3147), (5405, 3266), (5360, 3132), (5249, 3060), (5125, 3070), (5014, 3104), (5129, 3070), (5240, 3051), (5364, 3132), (5471, 3145), (4751, 3060), (4487, 3052), (4490, 3108), (4494, 2999), (4488, 3106), (4443, 2714)]"
CENTRO STORICO PIEDICASTELLO,102,"[(2929, 3939), (2769, 3413), (3362, 3515), (3603, 3367), (3451, 4040), (3454, 4018), (2682, 3556), (3393, 3439), (3444, 3283), (3200, 3233), (3131, 3223), (3704, 3207), (3477, 3265), (3412, 3265), (2859, 3506), (2852, 3513), (3274, 3326), (3253, 3421), (3666, 3218), (3638, 3270), (3265, 3937), (3276, 3936), (3443, 3648), (3543, 3476), (3422, 3671), (3309, 3862), (3502, 3548), (3511, 3521), (3374, 3766), (3722, 3346), (3200, 3361), (3248, 3308), (3224, 3444), (3383, 3444), (3317, 3458), (3396, 3950), (3403, 3932), (3423, 3976), (3251, 3639), (2993, 3945), (2991, 3942), (3169, 3739), (3173, 3731), (3309, 3575), (3307, 3574), (3048, 3880), (3019, 3909), (3248, 3647), (3103, 3816), (3102, 3813), (3471, 3695), (3489, 3699), (3346, 3502), (3522, 3306), (3388, 3133), (3383, 3138), (3645, 3103), (3512, 3393), (3481, 3348), (3518, 3732), (3515, 3732), (3461, 3884), (3457, 3887), (3473, 3815), (3477, 3803), (2990, 3319), (2989, 3312), (3069, 3241), (3069, 3238), (2905, 3419), (2912, 3413), (2979, 3396), (2993, 3385), (3525, 3227), (3305, 3964), (3352, 3924), (3426, 3291), (3321, 4058), (3378, 3974), (3359, 3920), (3297, 3970), (3450, 3973), (3071, 3374), (3397, 3218), (3118, 3454), (3315, 3211), (3334, 3215), (2918, 3324), (2928, 3319), (3380, 3879), (3433, 3769), (2728, 3452), (3499, 3268), (3239, 3329), (2706, 3496), (2824, 3591), (3279, 3191), (3556, 3416), (3567, 3396), (3077, 3242), (3717, 3276), (2804, 3616)]"
OLTREFERSINA,66,"[(4041, 2447), (3877, 2266), (3792, 2064), (3874, 1698), (3800, 2117), (3827, 1990), (3792, 2193), (3871, 1881), (3878, 1847), (4187, 3033), (4185, 3037), (3877, 2937), (3875, 2942), (3795, 2548), (3791, 2561), (3856, 2861), (3963, 2200), (3966, 2189), (3818, 2803), (4154, 2169), (4139, 2164), (4045, 2162), (4028, 2179), (3570, 2532), (3531, 2565), (3756, 2291), (3769, 2284), (3708, 2350), (3712, 2356), (3665, 2458), (3645, 2480), (3745, 2481), (3792, 2738), (3765, 2729), (3581, 2585), (3884, 2809), (3907, 2691), (3854, 2717), (3823, 2861), (3621, 2639), (3713, 2615), (3930, 2122), (3837, 2199), (3849, 2192), (3922, 2119), (3893, 2867), (3983, 2923), (3979, 2925), (3724, 2743), (3727, 2746), (3821, 2290), (3827, 2275), (3814, 2448), (3767, 2626), (3773, 2621), (3818, 2456), (4148, 2221), (3809, 2379), (3814, 2380), (3587, 2129), (3559, 2240), (3581, 2139), (3919, 2478), (3635, 1965), (3680, 1990), (3487, 2343)]"
MEANO,41,"[(3906, 5064), (3937, 5235), (3939, 5230), (3651, 5249), (3732, 5207), (3745, 5203), (3641, 5251), (3262, 5182), (3265, 5164), (3242, 5136), (3486, 5264), (3475, 5255), (3440, 5187), (3424, 5189), (3373, 5100), (3371, 5092), (3132, 4898), (3127, 4893), (3319, 4997), (3322, 5024), (3203, 5075), (3179, 5064), (3374, 5513), (3865, 5361), (3860, 5368), (3937, 5294), (3916, 5312), (3804, 5267), (3799, 5261), (3316, 5129), (3273, 5211), (3310, 5158), (3099, 4699), (3121, 4697), (3913, 5346), (3718, 5383), (3648, 5263), (3333, 4745), (3311, 4720), (3939, 5186), (3908, 5352)]"
VILLAZZANO,30,"[(4513, 2382), (4534, 2298), (4525, 2310), (4354, 2596), (4346, 2596), (4319, 2134), (4341, 2058), (4029, 2535), (3999, 2634), (4001, 2630), (4031, 2512), (4242, 2464), (4267, 2169), (4430, 2414), (4437, 2411), (4420, 2551), (4417, 2551), (4461, 2307), (4465, 2306), (4147, 2319), (4129, 2315), (4262, 2503), (4334, 2491), (4336, 2495), (4204, 2438), (4258, 2502), (4113, 2344), (4106, 2343), (4215, 2236), (4046, 2447)]"
MATTARELLO,22,"[(3871, 1688), (3720, 1060), (3798, 1247), (3790, 1222), (3830, 1287), (3862, 1411), (3867, 1414), (3693, 1048), (3741, 1146), (3665, 926), (3728, 1164), (3655, 1009), (3852, 1258), (3847, 1259), (3835, 1199), (3836, 1208), (3830, 1121), (3828, 1094), (3813, 1047), (3773, 1025), (3671, 1091), (3648, 918)]"
