id,city_area_id,product_category,store_name,location_id
0,12,ARTICOLI PER FARMACIA,PATTINI ALBERTO,607
1,12,,GESA TRUCK S.R.L.,608
2,12,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,VICOM S.P.A.,609
3,12,MOBILI,DONDI SALOTTI S.R.L.,610
4,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,DIFONZO DEBORA,611
5,12,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.,612
6,12,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,INTICOM S.P.A.,613
7,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,INTICOM S.P.A.,613
8,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,NANI S.R.L.,614
9,12,ARTICOLI MEDICALI E ORTOPEDICI,ACUSTICA TRENTINA SRL,615
10,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,YAN QIUWEN,616
11,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ZAMBAITI ALESSANDRO DI ROMANO & C. S.A.S.,617
12,12,LIBRI NUOVI,FATTORETTI SILVIA,618
13,12,PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.,GRANUZZO MICHELE,619
14,12,ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.,NAUTILUS S.A.S. DI DEGASPERI ANTONIO & C.,620
15,12,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,GIAMPICCOLO PETER,621
16,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,CAMICERIA LA MIA CAMICIA S.R.L.,622
17,12,LIBRI NUOVI,SCALA S.R.L.,623
18,12,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,YVES ROCHER ITALIA SRL SOCIETA' BENEFIT A SOCIO UNICO,624
19,12,CALZATURE E ARTICOLI IN CUOIO,CALZATURE POVOLO S.N.C. DI BONADIMAN ANNALISA E MARIAGRAZIA,625
20,12,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,EDITAB99 SAS DI ROSSI LORENZO & C.,626
21,12,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,EDITAB99 SAS DI ROSSI LORENZO & C.,626
22,12,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",EDITAB99 SAS DI ROSSI LORENZO & C.,626
23,12,GIORNALI-RIVISTE E PERIODICI,EDITAB99 SAS DI ROSSI LORENZO & C.,626
24,12,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,P. &  G. S.A.S. DI PAOLO FALCIERI E C.,627
25,12,,RAUZIER ANVARTI S.R.L.,628
26,12,,DIMEDICS S.R.L.,628
27,12,,BUONCONSIGLIO TRADING S.R.L.,628
28,12,,HAEMP S.R.L.,628
29,12,,ELI POWER S.R.L. SEMPLIFICATA,628
30,12,LIBRI NUOVI,DUE PUNTI S.R.L. SOCIETA' BENEFIT,629
31,12,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",DUE PUNTI S.R.L. SOCIETA' BENEFIT,629
32,12,CALZATURE E ARTICOLI IN CUOIO,ERRE. PI. DI PEDROTTI RAFFAELE S.A.S.,630
