id,longitude,latitude
0,11.107861,46.125847
1,11.109752,46.129144
2,11.111001,46.134568
3,11.109069,46.13858
4,11.105815,46.141545
5,11.106588,46.143221
6,11.108496,46.142225
7,11.119511,46.071756
8,11.118702,46.068034
9,11.120922,46.06455
10,11.123289,46.065117
11,11.126409,46.06689
12,11.127874,46.069509
13,11.13153,46.06664
14,11.136364,46.068584
15,11.138945,46.069376
16,11.139552,46.067111
17,11.141795,46.064922
18,11.146084,46.065426
19,11.150091,46.063156
20,11.151318,46.062025
21,11.151992,46.06411
22,11.154677,46.065879
23,11.156734,46.066341
24,11.158013,46.06546
25,11.159706,46.065739
26,11.161268,46.06749
27,11.161625,46.06941
28,11.165537,46.067127
29,11.161992,46.072734
30,11.139489,46.070882
31,11.138386,46.072151
32,11.139504,46.075378
33,11.141776,46.075653
34,11.144004,46.075713
35,11.146884,46.075937
36,11.151166,46.077643
37,11.154062,46.078916
38,11.158409,46.080506
39,11.157486,46.080892
40,11.154945,46.081409
41,11.157904,46.081825
42,11.16288,46.084235
43,11.160453,46.086121
44,11.163106,46.08452
45,11.158399,46.081977
46,11.155013,46.081506
47,11.156045,46.081286
48,11.158307,46.080507
49,11.153522,46.07889
50,11.151578,46.078022
51,11.14658,46.075967
52,11.144105,46.075819
53,11.14077,46.075681
54,11.13889,46.075399
55,11.138357,46.07157
56,11.136423,46.069215
57,11.132573,46.066443
58,11.12824,46.069863
59,11.126008,46.071903
60,11.122675,46.072966
61,11.119934,46.072531
62,11.129774,46.0429
63,11.128138,46.045018
64,11.126205,46.04867
65,11.122932,46.051157
66,11.120696,46.053836
67,11.119846,46.056448
68,11.119231,46.058483
69,11.119038,46.061521
70,11.119653,46.063777
71,11.118839,46.067878
72,11.1214,46.071751
73,11.119486,46.064014
74,11.118954,46.060282
75,11.119278,46.056778
76,11.120571,46.053943
77,11.124067,46.050201
78,11.126793,46.048007
79,11.128022,46.044844
80,11.129397,46.0431
81,11.131724,46.040399
82,11.134411,46.038132
83,11.135356,46.040445
84,11.132874,46.04238
85,11.12623,46.066987
86,11.128453,46.065447
87,11.112161,46.139289
88,11.115898,46.138061
89,11.118434,46.137891
90,11.111548,46.134482
91,11.110231,46.131117
92,11.107596,46.125967
93,11.105848,46.120375
94,11.106212,46.116068
95,11.108551,46.108373
96,11.110517,46.102642
97,11.111801,46.098968
98,11.115307,46.091515
99,11.116571,46.089309
100,11.119817,46.083704
101,11.12238,46.079302
102,11.122391,46.075533
103,11.121494,46.074195
104,11.122318,46.064755
105,11.123797,46.062192
106,11.126384,46.059396
107,11.128495,46.056393
108,11.129723,46.052957
109,11.130531,46.050654
110,11.131077,46.047729
111,11.130926,46.045701
112,11.131261,46.043087
113,11.131471,46.090206
114,11.130976,46.089258
115,11.129618,46.087089
116,11.127722,46.083438
117,11.126846,46.08168
118,11.12722,46.078522
119,11.128154,46.07627
120,11.128427,46.074148
121,11.12791,46.070054
122,11.161184,46.069213
123,11.160763,46.067189
124,11.159557,46.065543
125,11.157889,46.065689
126,11.154528,46.065939
127,11.151952,46.06387
128,11.150887,46.062005
129,11.150174,46.063282
130,11.146343,46.065751
131,11.141743,46.065054
132,11.139594,46.067201
133,11.140184,46.069514
134,11.131436,46.042627
135,11.107612,46.113375
136,11.109494,46.111087
137,11.111514,46.108465
138,11.11158,46.106673
