trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id
bus_trip_bus_trip_0003949612023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949642023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949652023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949662023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949672023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949682023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949692023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949702023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949712023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949722023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949732023091120240611,3,bus_route_bus_route_562,D255_R5074_sub2,0,Via 13 Settembre,1111110,bus_stop_2845
bus_trip_bus_trip_0003949742023091120240611,3,bus_route_bus_route_563,D257_R5081a_sub1,0,Via Della Cisterna,1111110,bus_stop_2706
bus_trip_bus_trip_0003949752023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Via Macello,1111110,bus_stop_2398
bus_trip_bus_trip_0003949772023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949802023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949812023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949822023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949832023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949842023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949852023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
bus_trip_bus_trip_0003949862023091120240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2878
