id,name,product_category,store_name,points
0,CENTRO STORICO PIEDICASTELLO,ARTICOLI PER FARMACIA,PATTINI ALBERTO,POINT (11.121924 46.067729)
1,CENTRO STORICO PIEDICASTELLO,,GESA TRUCK S.R.L.,POINT (11.11886 46.076443)
2,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,VICOM S.P.A.,POINT (11.116905 46.090371)
3,CENTRO STORICO PIEDICASTELLO,MOBILI,DONDI SALOTTI S.R.L.,POINT (11.115725 46.090351)
4,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,DIFONZO DEBORA,POINT (11.124582 46.070512)
5,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.,POINT (11.123649 46.068338)
6,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,INTICOM S.P.A.,POINT (11.122436 46.069676)
7,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,INTICOM S.P.A.,POINT (11.122436 46.069676)
8,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,NANI S.R.L.,POINT (11.122377 46.067982)
9,CENTRO STORICO PIEDICASTELLO,ARTICOLI MEDICALI E ORTOPEDICI,ACUSTICA TRENTINA SRL,POINT (11.122649 46.066126)
10,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,YAN QIUWEN,POINT (11.120203 46.068319)
11,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ZAMBAITI ALESSANDRO DI ROMANO & C. S.A.S.,POINT (11.122419 46.070468)
12,CENTRO STORICO PIEDICASTELLO,LIBRI NUOVI,FATTORETTI SILVIA,POINT (11.122687 46.066091)
13,CENTRO STORICO PIEDICASTELLO,PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.,GRANUZZO MICHELE,POINT (11.121218 46.068349)
14,CENTRO STORICO PIEDICASTELLO,ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.,NAUTILUS S.A.S. DI DEGASPERI ANTONIO & C.,POINT (11.111055 46.070465)
15,CENTRO STORICO PIEDICASTELLO,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,GIAMPICCOLO PETER,POINT (11.125174 46.067253)
16,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,CAMICERIA LA MIA CAMICIA S.R.L.,POINT (11.120397 46.068923)
17,CENTRO STORICO PIEDICASTELLO,LIBRI NUOVI,SCALA S.R.L.,POINT (11.124869 46.067891)
18,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,YVES ROCHER ITALIA SRL SOCIETA' BENEFIT A SOCIO UNICO,POINT (11.121686 46.067813)
19,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,CALZATURE POVOLO S.N.C. DI BONADIMAN ANNALISA E MARIAGRAZIA,POINT (11.1243 46.069278)
20,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,EDITAB99 SAS DI ROSSI LORENZO & C.,POINT (11.119371 46.070782)
21,CENTRO STORICO PIEDICASTELLO,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,EDITAB99 SAS DI ROSSI LORENZO & C.,POINT (11.119371 46.070782)
22,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",EDITAB99 SAS DI ROSSI LORENZO & C.,POINT (11.119371 46.070782)
23,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,EDITAB99 SAS DI ROSSI LORENZO & C.,POINT (11.119371 46.070782)
24,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,P. &  G. S.A.S. DI PAOLO FALCIERI E C.,POINT (11.122861 46.068265)
25,CENTRO STORICO PIEDICASTELLO,,RAUZIER ANVARTI S.R.L.,POINT (11.125784 46.066659)
26,CENTRO STORICO PIEDICASTELLO,,DIMEDICS S.R.L.,POINT (11.125784 46.066659)
27,CENTRO STORICO PIEDICASTELLO,,BUONCONSIGLIO TRADING S.R.L.,POINT (11.125784 46.066659)
28,CENTRO STORICO PIEDICASTELLO,,HAEMP S.R.L.,POINT (11.125784 46.066659)
29,CENTRO STORICO PIEDICASTELLO,,ELI POWER S.R.L. SEMPLIFICATA,POINT (11.125784 46.066659)
30,CENTRO STORICO PIEDICASTELLO,LIBRI NUOVI,DUE PUNTI S.R.L. SOCIETA' BENEFIT,POINT (11.125188 46.072518)
31,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",DUE PUNTI S.R.L. SOCIETA' BENEFIT,POINT (11.125188 46.072518)
32,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,ERRE. PI. DI PEDROTTI RAFFAELE S.A.S.,POINT (11.123254 46.069838)
33,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ORIGINAL MARINES S.P.A.,POINT (11.122198 46.067959)
34,CENTRO STORICO PIEDICASTELLO,MOBILI,TRAPUNTIFICIO C.A.T. S.R.L.,POINT (11.123781 46.069729)
35,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MURGIA MARIA LIVIA,POINT (11.122917 46.069034)
36,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MATRIXX S.R.L.,POINT (11.122485 46.068995)
37,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,LUSH ITALIA S.R.L.,POINT (11.123987 46.06832)
38,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,DEICHMANN CALZATURE S.R.L.,POINT (11.123784 46.069983)
39,CENTRO STORICO PIEDICASTELLO,AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI,CICLI E MOTOCICLI F.LLI BAZZANELLA DI BAZZANELLA S. & C. SNC,POINT (11.12395 46.070679)
40,CENTRO STORICO PIEDICASTELLO,COMMERCIO AL DETTAGLIO DEI MINIMERCATI,ZHOU SUILI,POINT (11.11829 46.069265)
41,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,GRECO ALESSANDRO,POINT (11.124757 46.068742)
42,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,MAGLIOCCA ADRIANA,POINT (11.123829 46.068767)
43,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,SULTANA RIFFAT,POINT (11.121599 46.067819)
44,CENTRO STORICO PIEDICASTELLO,FIORI E PIANTE,WAHEED DANIAL,POINT (11.121599 46.067819)
45,CENTRO STORICO PIEDICASTELLO,GIOCHI E GIOCATTOLI,LAURORA MAURIZIO,POINT (11.123611 46.06781)
46,CENTRO STORICO PIEDICASTELLO,ROSTICCERIA,FRIENDS PIZZERIA & KEBAB S.N.C. DI SHAHZAD ATIF E ASLAM AITZ,POINT (11.11822 46.069621)
47,CENTRO STORICO PIEDICASTELLO,PANE E LATTE,GIULIANO SOSI S.R.L.,POINT (11.121412 46.068582)
48,CENTRO STORICO PIEDICASTELLO,ARTICOLI PER FARMACIA,FARMACIE COMUNALI SPA,POINT (11.112432 46.0706)
49,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ATZORI SILVIA,POINT (11.126665 46.067715)
50,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),BRAGAGNA GIORGIO E C. S.N.C.,POINT (11.123222 46.07079)
51,CENTRO STORICO PIEDICASTELLO,,MONTECRISTO S.R.L.,POINT (11.123634 46.076982)
52,CENTRO STORICO PIEDICASTELLO,,RADCON ITALIA S.R.L.,POINT (11.123634 46.076982)
53,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,MELIRO SRLS,POINT (11.124996 46.072415)
54,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,MELIRO SRLS,POINT (11.124996 46.072415)
55,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,SI.GI. S.A.S. DI BRIGNOLI ROBERTA & C.,POINT (11.122796 46.06818)
56,CENTRO STORICO PIEDICASTELLO,OTTICA-FOTOGRAFIA-CINEMATOGRAFIA-STRUMEN,OCCHIALI24.IT SRL,POINT (11.124621 46.070922)
57,CENTRO STORICO PIEDICASTELLO,ART.REGALO-ARTIGIANATO LOCALE,PCFB SRLS,POINT (11.123098 46.065611)
58,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,PCFB SRLS,POINT (11.123098 46.065611)
59,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,GRAVANTE GIOVANNI,POINT (11.119362 46.070843)
60,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,PESCE GIAMPAOLO,POINT (11.120128 46.068626)
61,CENTRO STORICO PIEDICASTELLO,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,PESCE GIAMPAOLO,POINT (11.120128 46.068626)
62,CENTRO STORICO PIEDICASTELLO,DROGHERIA-SALUMERIA-PIZZICHERIE-E SIMILI,DROGHERIA A. SANTONI DI FIGHEL GIORGIO E C. S.N.C.,POINT (11.123044 46.065716)
63,CENTRO STORICO PIEDICASTELLO,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,FLORA CAMPESTRIN E C. S.A.S.,POINT (11.120297 46.072443)
64,CENTRO STORICO PIEDICASTELLO,,FLORA CAMPESTRIN E C. S.A.S.,POINT (11.120297 46.072443)
65,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,OBRELLI GIOIELLERIA DAL 1929 S.R.L.,POINT (11.122565 46.066265)
66,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,OREFICERIA BERNARDI DI BERNARDI RENATO E C. S.N.C.,POINT (11.122706 46.066028)
67,CENTRO STORICO PIEDICASTELLO,"ELETTRODOMESTICI, RADIO, TELEVISORI",ZHOU BOQING,POINT (11.120795 46.068023)
68,CENTRO STORICO PIEDICASTELLO,VARIE,STAUDACHER KARIN,POINT (11.12293 46.066278)
69,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,BOMBOLETTA S.R.L.,POINT (11.12532 46.067984)
70,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,HEXAGON S.P.A.,POINT (11.122484 46.068367)
71,CENTRO STORICO PIEDICASTELLO,ARTICOLI MEDICALI E ORTOPEDICI,UDICARE SOCIETA' A RESPONSABILITA' LIMITATA,POINT (11.119229 46.076146)
72,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,OSCAR CLOTHING S.N.C. DI CORTELLETTI ELEONORA & C.,POINT (11.124973 46.068444)
73,CENTRO STORICO PIEDICASTELLO,ARTICOLI DI SECONDA MANO,BLASCO FRANCESCO,POINT (11.125381 46.072693)
74,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,YAN QIUWEN,POINT (11.120261 46.068268)
75,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,BOUTIQUE VILMA DI TOMASI VILMA E C. SNC,POINT (11.120802 46.067722)
76,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,GOLDENPOINT S.P.A.,POINT (11.122541 46.068127)
77,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),SAIT CONSORZIO DELLE COOPERATIVE DI CONSUMO TRENTINE S.C.A R,POINT (11.123001 46.067781)
78,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PALLAVER VIRGINIA,POINT (11.124356 46.069857)
79,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,EL-LUIZI FARAH,POINT (11.123688 46.068802)
80,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,EL-LUIZI FARAH,POINT (11.123688 46.068802)
81,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",REDORO FOOD S.R.L.,POINT (11.121387 46.068648)
82,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,FEDRIZZI GEMA PAOLINA,POINT (11.122592 46.06623)
83,CENTRO STORICO PIEDICASTELLO,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,FEDRIZZI GEMA PAOLINA,POINT (11.122592 46.06623)
84,CENTRO STORICO PIEDICASTELLO,MOBILI,FAILO ANESI MICHELE,POINT (11.127538 46.069388)
85,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,SEPHORA ITALIA S.R.L.,POINT (11.123489 46.069838)
86,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",LA EMERGENTE S.R.L.,POINT (11.124701 46.070406)
87,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,STILE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,POINT (11.125012 46.068086)
88,CENTRO STORICO PIEDICASTELLO,MOBILI,PRIMA S.R.L.,POINT (11.127241 46.069318)
89,CENTRO STORICO PIEDICASTELLO,,HADHADI MOHAMMED,POINT (11.119229 46.076608)
90,CENTRO STORICO PIEDICASTELLO,OTTICA-FOTOGRAFIA-CINEMATOGRAFIA-STRUMEN,ALLA ROTONDA S.R.L.,POINT (11.122397 46.066679)
91,CENTRO STORICO PIEDICASTELLO,MOBILI,VI.VO S.A.S. DI RITA FIASCHETTI & C.,POINT (11.124057 46.070408)
92,CENTRO STORICO PIEDICASTELLO,ART.PER RIVENDITE DI GENERI DI MONOPOLIO,IANNETTI DANIELE,POINT (11.115256 46.073828)
93,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,IANNETTI DANIELE,POINT (11.115256 46.073828)
94,CENTRO STORICO PIEDICASTELLO,ARTICOLI PER FARMACIA,FARMACIA ALLA MADONNA DI CASAGRANDE GIANMARCO & C S.N.C.,POINT (11.123131 46.069837)
95,CENTRO STORICO PIEDICASTELLO,ROSTICCERIA,PG S.R.L.,POINT (11.122476 46.066579)
96,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,BRUGNARA ROSA MARIA,POINT (11.122867 46.074474)
97,CENTRO STORICO PIEDICASTELLO,LIBRI NUOVI,CAMPADELLI MAURO,POINT (11.125848 46.07095)
98,CENTRO STORICO PIEDICASTELLO,GRANDI MAGAZZINI (OLTRE 400 MQ. - CON 5,SPORTLER S.P.A.,POINT (11.123858 46.068015)
99,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,B.G.M. DI PALLAORO BRUNA & C. S.A.S.,POINT (11.124305 46.067139)
100,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,COVI MATTEO,POINT (11.12486 46.068828)
101,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PETIT BATEAU ITALIA SRL,POINT (11.124107 46.068512)
102,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,DUOMO CENTER SAS,POINT (11.122783 46.067344)
103,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,POP LIOARA,POINT (11.122954 46.065894)
104,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,POP LIOARA,POINT (11.122954 46.065894)
105,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,CAPELLO POINT S.P.A.,POINT (11.122579 46.06916)
106,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,ROPELE GIANFRANCO,POINT (11.119579 46.069609)
107,CENTRO STORICO PIEDICASTELLO,VARIE,TRENTATRE SAS DI BLACK PRINCE SRL,POINT (11.12249 46.068029)
108,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,CAMPO ALESSIO ANDREA,POINT (11.124028 46.069152)
109,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PERISSINOTTO MARIAROSA,POINT (11.124734 46.068858)
110,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,SPAZIO DONNA SNC,POINT (11.125938 46.067309)
111,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,FOOT LOCKER ITALY SRL,POINT (11.122532 46.069913)
112,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,BARBACOVI DANIELE,POINT (11.122178 46.067635)
113,CENTRO STORICO PIEDICASTELLO,,PLANET ENERGY S.R.L.,POINT (11.121876 46.065676)
114,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",OLD S.R.L.,POINT (11.125017 46.071512)
115,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,SEVEGNANI SABRINA,POINT (11.117995 46.075731)
116,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PCFB SRLS,POINT (11.124319 46.068725)
117,CENTRO STORICO PIEDICASTELLO,OGGETTI D'ARTE-DI CULTO E DI DECORAZIONE,SALJOUGHI FARROKH,POINT (11.124249 46.069147)
118,CENTRO STORICO PIEDICASTELLO,VARIE,PI.GI. COMMERCIALE DI FRANCESCA VOLTOLINI & C. S.A.S.,POINT (11.123604 46.069615)
119,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,SOVECAR SRL,POINT (11.123473 46.077763)
120,CENTRO STORICO PIEDICASTELLO,nan,ABC STUDIO S.R.L.,POINT (11.119321 46.069631)
121,CENTRO STORICO PIEDICASTELLO,VARIE,ABC STUDIO S.R.L.,POINT (11.119321 46.069631)
122,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,BHATTI TALAT MASOOD,POINT (11.118388 46.069134)
123,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ARTSANA  S.P.A.,POINT (11.124074 46.070036)
124,CENTRO STORICO PIEDICASTELLO,GIOCHI E GIOCATTOLI,BERTOLUZZA ALBERTO,POINT (11.123317 46.069013)
125,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,DEPAOLI MARILENA,POINT (11.12323 46.069034)
126,CENTRO STORICO PIEDICASTELLO,ART.CASALINGHI-CRISTALLERIE-VASELLAME,SAMA SAS DI ALESSANDRA DALPRA' & C.,POINT (11.12323 46.069034)
127,CENTRO STORICO PIEDICASTELLO,ARTICOLI PER FARMACIA,FARMACIA GALLO S.N.C. DI CAINELLI PAOLO & C.,POINT (11.124188 46.067437)
128,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,ZANOTELLI SILVIA,POINT (11.122369 46.066288)
129,CENTRO STORICO PIEDICASTELLO,PELLICCE E PELLI PER PELLICCERIA,DETASSIS AMEDEO,POINT (11.122907 46.066)
130,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,AURORA MAX & SY SAS DI PIFFER MASSIMO E C.,POINT (11.123205 46.066442)
131,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,LIGHT BLUE L&A SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFI,POINT (11.124903 46.071126)
132,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",LIGHT BLUE L&A SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFI,POINT (11.124903 46.071126)
133,CENTRO STORICO PIEDICASTELLO,ART.CASALINGHI-CRISTALLERIE-VASELLAME,CENTRO DEL REGALO CANDOTTI SNC DI CANDOTTI MARIAGRAZIA E,POINT (11.124514 46.069832)
134,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PCFB SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,POINT (11.124644 46.07068)
135,CENTRO STORICO PIEDICASTELLO,nan,MYMOD SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,POINT (11.124274 46.075378)
136,CENTRO STORICO PIEDICASTELLO,VARIE,DMAGIS S.R.L.,POINT (11.124274 46.075378)
137,CENTRO STORICO PIEDICASTELLO,ARTICOLI MEDICALI E ORTOPEDICI,ALEKSIC DRAGAN,POINT (11.115482 46.074003)
138,CENTRO STORICO PIEDICASTELLO,,ZANNI S.R.L.,POINT (11.115482 46.074003)
139,CENTRO STORICO PIEDICASTELLO,nan,ILLING ASTRID,POINT (11.124876 46.070904)
140,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ILLING ASTRID,POINT (11.124876 46.070904)
141,CENTRO STORICO PIEDICASTELLO,PRODOTTI TESSILI,MANIFATTURE LOMBARDE S.R.L.,POINT (11.121643 46.068597)
142,CENTRO STORICO PIEDICASTELLO,PANE E LATTE,PIFFER LUANA,POINT (11.124126 46.076613)
143,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ITX ITALIA S.R.L.,POINT (11.122443 46.069614)
144,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,LUNELLI TRENTO SRL,POINT (11.122495 46.066507)
145,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,XIE BINGYIN,POINT (11.119718 46.069823)
146,CENTRO STORICO PIEDICASTELLO,,STILELETTRA DUE S.A.S. DI TONDINI SANDRA E C.,POINT (11.112263 46.070557)
147,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,POCHER S.N.C. DI POCHER DIEGO & C.,POINT (11.122953 46.068276)
148,CENTRO STORICO PIEDICASTELLO,VARIE,FERRAMENTA LORENZI S.R.L.,POINT (11.124811 46.075434)
149,CENTRO STORICO PIEDICASTELLO,FERRAMENTA,FERRAMENTA LORENZI S.R.L.,POINT (11.124811 46.075434)
150,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,ECO DESIGN S.R.L.,POINT (11.121717 46.070006)
151,CENTRO STORICO PIEDICASTELLO,DROGHERIA-SALUMERIA-PIZZICHERIE-E SIMILI,ASCIONE CARMELA,POINT (11.123918 46.066082)
