WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664103.57967351 5103761.64496459)";ARTICOLI PER FARMACIA;;;"1040";PIAZZA DUOMO;"10";ARTICOLI PER FARMACIA;28;PATTINI ALBERTO;"24531";"ARTICOLI PER FARMACIA - PIAZZA DUOMO, 10"
"POINT (665423.971582208 5104114.30734438)";;NON ALIMENTARE;;"6468";VIA PER COGNOLA;"35";;0;CONSULENZE E INTERMEDIAZIONI S.A.S. DI RACHITANU STELA;"39717";
"POINT (664984.437675795 5102744.86554898)";VARIE;NON ALIMENTARE;COFANI E FORNITURE FUNEBRI;"1300";VIA G. GEROLA;"17";VARIE;28;TSF S.R.L.;"47795";"VARIE - VIA G. GEROLA, 17"
"POINT (663840.810052007 5104723.45010709)";;NON ALIMENTARE;;"480";CORSO M. BUONARROTI;"8";;0;GESA TRUCK S.R.L.;"45166";
"POINT (664720.279119084 5097544.19397843)";;NON ALIMENTARE;;"7790";VIA DELLA COOPERAZIONE;"9";;0;CONSORZIO AGRARIO DI BOLZANO SOCIETA' COOPERATIVA;"45192";
"POINT (665028.052596297 5100493.01326236)";;NON ALIMENTARE;;"1870";VIA C. MENGUZZATO;"28";;0;EUMAC SRL;"24802";
"POINT (664669.381116347 5097772.7625008)";;NON ALIMENTARE;;"7790";VIA DELLA COOPERAZIONE;"105";;0;WITA S.R.L.;"40366";
"POINT (659045.665716521 5104002.13763712)";;NON ALIMENTARE;;"8038";VIA DEL REGOLIN;"11";;0;CECCARINI IVAN;"35667";
"POINT (664436.965460529 5095825.61316488)";;NON ALIMENTARE;;"7815";VIA NAZIONALE;"204";;0;BRS TECHNOLOGY S.R.L.;"40907";
"POINT (663442.328257141 5100823.00090804)";;NON ALIMENTARE;;"8805";VIA HERRSCHING;"24";;0;TRANSVECTA S.R.L.;"38127";
"POINT (664526.560085275 5101459.68617007)";;NON ALIMENTARE;;"1090";VIA E. FERMI;"12";;0;SESTER S.R.L.;"31858";
"POINT (662562.831063219 5109170.88164501)";;NON ALIMENTARE;;"5777";VIA KUFSTEIN;"5";;0;SAIDEA S.R.L.;"32626";
"POINT (663648.461833638 5106266.99356101)";OROLOGI-ART.GIOIELLERIA-ARGENTERIA;NON ALIMENTARE;;"400";VIA DEL BRENNERO;"320";OROLOGI-ART.GIOIELLERIA-ARGENTERIA;80;VICOM S.P.A.;"45293";"OROLOGI-ART.GIOIELLERIA-ARGENTERIA - VIA DEL BRENNERO, 320"
"POINT (661652.2796232 5108147.293813)";;ALIMENTARE E NON ALIMENTARE;;"5460";VIA INNSBRUCK;"22";;0;BIOTECH TRENTINO SRL;"25763";
"POINT (663266.890245446 5107219.20998054)";;NON ALIMENTARE;;"5290";VIA 4 NOVEMBRE;112/B;;0;PERVAIZ MUHAMMAD;"37113";
"POINT (663079.652341496 5107412.65641551)";;NON ALIMENTARE;;"5038";VIA AVISIO;"8";;0;SIMON SORIN IOSIF;"37073";
"POINT (663899.977902146 5103468.10160197)";;NON ALIMENTARE;;"2670";VIA A. ROSMINI;"102";;0;MEGAL CHIC DI TOMASI CRISTINA & C. SAS;"35478";
"POINT (663863.247032098 5102274.05689782)";;NON ALIMENTARE;;"2020";VIA DEI MUREDEI;33/3;;0;QB S.R.L.;"36839";
"POINT (663557.298640855 5106262.26899657)";MOBILI;NON ALIMENTARE;SALOTTI E COMPLEMENTI D'ARREDO;"400";VIA DEL BRENNERO;"143";MOBILI;383;DONDI SALOTTI S.R.L.;"43706";"MOBILI - VIA DEL BRENNERO, 143"
"POINT (663595.432717367 5102728.63410841)";;NON ALIMENTARE;;"3839";CORSO LAVORO E SCIENZA;"20";;0;THE NEST S.R.L.;"45946";
"POINT (663595.432717367 5102728.63410841)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;"SCARPE, ABBIGLIAMENTO, BIGIOTTERIA, CHINCAGLIERIA, ECC.";"3839";CORSO LAVORO E SCIENZA;"20";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;250;THE NEST S.R.L.;"45949";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - CORSO LAVORO E SCIENZA, 20"
"POINT (663469.292622151 5101619.66475503)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"3821";VIA A. PEZCOLLER;"5";MATERIALI TERMOIDRAULICI;49;EFFETTI S.R.L.;"6455";"MATERIALI TERMOIDRAULICI - VIA A. PEZCOLLER, 5"
"POINT (664300.880113823 5104076.337823)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"3210";VIA DEL SUFFRAGIO;"106";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;47;DIFONZO DEBORA;"35725";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DEL SUFFRAGIO, 106"
"POINT (664044.851871368 5102293.16031778)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"2880";VIA SAN PIO X;"53";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;280;JIN WEIBAO;"40930";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA SAN PIO X, 53"
"POINT (664891.142311386 5103541.64297134)";ARTICOLI PER FARMACIA;ALIMENTARE E NON ALIMENTARE;SETTORE ALIMENTARE E NON ALIMENTARE;"1340";VIA B. GIOVANELLI;"5";ARTICOLI PER FARMACIA;76;FARMACIE COMUNALI SPA;"25573";"ARTICOLI PER FARMACIA - VIA B. GIOVANELLI, 5"
"POINT (664235.168166127 5103832.90859239)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"2120";VIA ORIOLA;"39";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;147;D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.;"31745";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA ORIOLA, 39"
"POINT (663839.207901737 5102591.06823484)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";ALIMENTARE;;"2020";VIA DEI MUREDEI;"2";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";35;AGOSTINI OLGA;"12104";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIA DEI MUREDEI, 2"
"POINT (664137.44293862 5103978.97161141)";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;NON ALIMENTARE;"BORSE,VALIGIE,PORTAFOGLI,CINTURE";"2180";VIA P. OSS MAZZURANA;"4";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;190;INTICOM S.P.A.;"38654";"ALTRI PRODOTTI NON CLASS.(MINERALI DA CO - VIA P. OSS MAZZURANA, 4"
"POINT (664137.44293862 5103978.97161141)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"BORSE,VALIGIE ED ACCESSORI";"2180";VIA P. OSS MAZZURANA;"4";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;190;INTICOM S.P.A.;"38654";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA P. OSS MAZZURANA, 4"
"POINT (664137.871958385 5103790.64030124)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;INTIMO;"2180";VIA P. OSS MAZZURANA;"92";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;240;NANI S.R.L.;"25697";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA P. OSS MAZZURANA, 92"
"POINT (663905.200121362 5103434.96948248)";ELETTRONICA- DISCHI E NASTRI VIDEO;NON ALIMENTARE;TELEFONI CELLULARI ANCHE USATI E ACCESSSORI TELEFONIA;"2670";VIA A. ROSMINI;"110";ELETTRONICA- DISCHI E NASTRI VIDEO;60;COLORCLUB.IT S.R.L.;"46316";"ELETTRONICA- DISCHI E NASTRI VIDEO - VIA A. ROSMINI, 110"
"POINT (664164.43927279 5103584.98417094)";ARTICOLI MEDICALI E ORTOPEDICI;NON ALIMENTARE;APPARECCHI ACUSTICI;"1840";VIA G. MAZZINI;"12";ARTICOLI MEDICALI E ORTOPEDICI;35;ACUSTICA TRENTINA SRL;"43876";"ARTICOLI MEDICALI E ORTOPEDICI - VIA G. MAZZINI, 12"
"POINT (663968.745950422 5103823.63245215)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"680";VIA CAMILLO BENSO CAVOUR;"14";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;31;YAN QIUWEN;"13911";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA CAMILLO BENSO CAVOUR, 14"
"POINT (664133.763307363 5104066.97681636)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;TESSILI;"3310";VIA TORRE VERDE;"6";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;106;ZAMBAITI ALESSANDRO DI ROMANO & C. S.A.S.;"7654";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA TORRE VERDE, 6"
